agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,num_agents
SniperAgent 4,SniperAgent,0,0.0,0,75.5,0,3,7,10
AdaptiveAgent 5,AdaptiveAgent,8,0.26666666666666666,0,123.88888888888889,0.0,0,7,10
RandomAgent 6,RandomAgent,0,0.0,0,68.0,0,4,7,10
ConservativeAgent 7,ConservativeAgent,4,0.13333333333333333,26,60.8235294117647,0.043697478991596636,0,7,10
AggressiveAgent 8,AggressiveAgent,3,0.1,0,91.93333333333334,0.0,1,7,10
SniperAgent 9,SniperAgent,0,0.0,0,34.0,0,2,7,10
AdaptiveAgent 10,AdaptiveAgent,12,0.4,4,108.1,0.0034782608695652175,0,7,10
RandomAgent 1,RandomAgent,0,0.0,0,56.45454545454545,0,8,8,10
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,20,83.8125,0.06289308176100629,0,8,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,26,68.57142857142857,0.17567567567567569,4,8,10
SniperAgent 4,SniperAgent,0,0.0,0,49.4,0,1,8,10
AdaptiveAgent 5,AdaptiveAgent,12,0.4,42,123.3,0.03070175438596491,0,8,10
RandomAgent 6,RandomAgent,0,0.0,0,67.78571428571429,0,4,8,10
ConservativeAgent 7,ConservativeAgent,1,0.03333333333333333,0,77.0,0.0,0,8,10
AggressiveAgent 8,AggressiveAgent,3,0.1,12,95.75,0.02591792656587473,3,8,10
SniperAgent 9,SniperAgent,0,0.0,0,108.5,0,1,8,10
AdaptiveAgent 10,AdaptiveAgent,11,0.36666666666666664,1,124.68181818181819,0.0008539709649871904,0,8,10
RandomAgent 1,RandomAgent,0,0.0,0,71.6,0,7,9,10
ConservativeAgent 2,ConservativeAgent,0,0.0,0,85.61111111111111,0,0,9,10
AggressiveAgent 3,AggressiveAgent,0,0.0,0,65.2,0,1,9,10
SniperAgent 4,SniperAgent,1,0.03333333333333333,0,61.75,0.0,1,9,10
AdaptiveAgent 5,AdaptiveAgent,12,0.4,4,123.28571428571429,0.0028328611898017,0,9,10
RandomAgent 6,RandomAgent,0,0.0,0,71.94117647058823,0,3,9,10
ConservativeAgent 7,ConservativeAgent,4,0.13333333333333333,15,111.35714285714286,0.023076923076923078,0,9,10
AggressiveAgent 8,AggressiveAgent,0,0.0,0,93.53846153846153,0,2,9,10
SniperAgent 9,SniperAgent,1,0.03333333333333333,0,65.4,0.0,1,9,10
AdaptiveAgent 10,AdaptiveAgent,12,0.4,84,125.0,0.05785123966942149,1,9,10
RandomAgent 1,RandomAgent,0,0.0,0,82.85714285714286,0,8,10,10
ConservativeAgent 2,ConservativeAgent,1,0.03333333333333333,0,95.73333333333333,0.0,0,10,10
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,0,75.07692307692308,0.0,2,10,10
SniperAgent 4,SniperAgent,1,0.03333333333333333,0,57.2,0.0,0,10,10
AdaptiveAgent 5,AdaptiveAgent,9,0.3,64,121.44444444444444,0.062196307094266275,0,10,10
RandomAgent 6,RandomAgent,1,0.03333333333333333,71,74.0,0.5867768595041323,5,10,10
ConservativeAgent 7,ConservativeAgent,2,0.06666666666666667,1,66.76470588235294,0.004,0,10,10
AggressiveAgent 8,AggressiveAgent,2,0.06666666666666667,22,85.15384615384616,0.07236842105263158,1,10,10
SniperAgent 9,SniperAgent,1,0.03333333333333333,0,88.8,0.0,0,10,10
AdaptiveAgent 10,AdaptiveAgent,12,0.4,7,118.34782608695652,0.005537974683544304,0,10,10
RandomAgent 1,RandomAgent,0,0.0,0,46.5,0,3,1,20
ConservativeAgent 2,ConservativeAgent,2,0.06666666666666667,1,63.0,0.0029850746268656717,0,1,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,75.72727272727273,0,3,1,20
SniperAgent 4,SniperAgent,0,0.0,0,136.0,0,1,1,20
AdaptiveAgent 5,AdaptiveAgent,7,0.23333333333333334,40,125.91666666666667,0.055632823365785816,0,1,20
RandomAgent 6,RandomAgent,0,0.0,0,48.42857142857143,0,6,1,20
ConservativeAgent 7,ConservativeAgent,3,0.1,0,116.84615384615384,0.0,0,1,20
AggressiveAgent 8,AggressiveAgent,0,0.0,0,49.333333333333336,0,4,1,20
SniperAgent 9,SniperAgent,0,0.0,0,29.0,0,0,1,20
AdaptiveAgent 10,AdaptiveAgent,6,0.2,0,137.53333333333333,0.0,0,1,20
RandomAgent 11,RandomAgent,0,0.0,0,81.1,0,3,1,20
ConservativeAgent 12,ConservativeAgent,2,0.06666666666666667,0,81.23076923076923,0.0,0,1,20
AggressiveAgent 13,AggressiveAgent,0,0.0,0,64.88888888888889,0,3,1,20
SniperAgent 14,SniperAgent,0,0.0,0,160.0,0,0,1,20
AdaptiveAgent 15,AdaptiveAgent,4,0.13333333333333333,0,137.63636363636363,0.0,0,1,20
RandomAgent 16,RandomAgent,0,0.0,0,59.714285714285715,0,3,1,20
ConservativeAgent 17,ConservativeAgent,1,0.03333333333333333,0,96.88888888888889,0.0,0,1,20
AggressiveAgent 18,AggressiveAgent,0,0.0,0,106.6,0,1,1,20
SniperAgent 19,SniperAgent,0,0.0,0,196.0,0,0,1,20
AdaptiveAgent 20,AdaptiveAgent,5,0.16666666666666666,0,132.85714285714286,0.0,0,1,20
RandomAgent 1,RandomAgent,0,0.0,0,86.0,0,7,2,20
ConservativeAgent 2,ConservativeAgent,1,0.03333333333333333,0,84.73333333333333,0.0,0,2,20
AggressiveAgent 3,AggressiveAgent,0,0.0,0,77.5,0,4,2,20
SniperAgent 4,SniperAgent,0,0.0,0,57.0,0,2,2,20
AdaptiveAgent 5,AdaptiveAgent,6,0.2,3,139.5,0.004,0,2,20
RandomAgent 6,RandomAgent,0,0.0,0,62.714285714285715,0,6,2,20
ConservativeAgent 7,ConservativeAgent,0,0.0,0,100.08333333333333,0,0,2,20
AggressiveAgent 8,AggressiveAgent,0,0.0,0,95.28571428571429,0,6,2,20
SniperAgent 9,SniperAgent,0,0.0,0,44.4,0,2,2,20
AdaptiveAgent 10,AdaptiveAgent,6,0.2,3,149.28571428571428,0.0035169988276670576,0,2,20
RandomAgent 11,RandomAgent,0,0.0,0,44.666666666666664,0,7,2,20
ConservativeAgent 12,ConservativeAgent,1,0.03333333333333333,1,94.57142857142857,0.005555555555555556,0,2,20
AggressiveAgent 13,AggressiveAgent,0,0.0,0,59.8,0,6,2,20
SniperAgent 14,SniperAgent,0,0.0,0,50.5,0,2,2,20
AdaptiveAgent 15,AdaptiveAgent,5,0.16666666666666666,1,148.76923076923077,0.0014104372355430183,0,2,20
RandomAgent 16,RandomAgent,0,0.0,0,101.0,0,5,2,20
ConservativeAgent 17,ConservativeAgent,1,0.03333333333333333,1,114.85714285714286,0.006097560975609756,0,2,20
AggressiveAgent 18,AggressiveAgent,0,0.0,0,101.5,0,3,2,20
SniperAgent 19,SniperAgent,0,0.0,0,94.0,0,3,2,20
AdaptiveAgent 20,AdaptiveAgent,10,0.3333333333333333,0,118.84210526315789,0.0,0,2,20
RandomAgent 1,RandomAgent,0,0.0,0,87.85714285714286,0,1,3,20
ConservativeAgent 2,ConservativeAgent,1,0.03333333333333333,0,83.88888888888889,0.0,0,3,20
AggressiveAgent 3,AggressiveAgent,1,0.03333333333333333,0,76.75,0.0,3,3,20
